billboard_ranking,song,artist,year,popular_or_not,album_id,album,spotify_popularity,audio_link
88,Love Lies,Khalid & Normani,2019,1,4CEAev7neETRdqBFtzA8B9,Love Lies (with Normani),74,https://p.scdn.co/mp3-preview/aa4f4d0898af5fc2f40c3c3dd1c1a0ece80df384?cid=6a78982078cb477d900388b0470ad9ad
89,One Thing Right,Marshmello & Kane Brown,2019,1,13pvchQvJxxpvvtsasA4NG,One Thing Right (Remixes),34,https://p.scdn.co/mp3-preview/4785fd01ada1640d235bd7e45faa56d6b9270ac0?cid=6a78982078cb477d900388b0470ad9ad
90,Cash Shit,Megan Thee Stallion Featuring DaBaby,2019,1,5WLquTz7nUnsHCj80b6wci,Fever,64,https://p.scdn.co/mp3-preview/00b607fa9c2b522130098a2e3a579f1f19fa805c?cid=6a78982078cb477d900388b0470ad9ad
91,Tequila,Dan + Shay,2019,1,0g1F5eGVwX4Sxi1n8ojPkE,Dan + Shay,71,https://p.scdn.co/mp3-preview/bf69830f0ee23284aa7559c2f1938ce883797837?cid=6a78982078cb477d900388b0470ad9ad
92,Shotta Flow,NLE Choppa,2019,1,6li8kT6o9RM59IxRyZZJYh,Cottonwood,75,https://p.scdn.co/mp3-preview/4a23dd9141e068958bc0231c2a0bed89f3397137?cid=6a78982078cb477d900388b0470ad9ad
93,Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",2019,1,2Xqs4kJBrZAHN1XVqy9QOK,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),63,https://p.scdn.co/mp3-preview/7b051bd20476e3300f9b3578bf633684976aa90f?cid=6a78982078cb477d900388b0470ad9ad
94,Talk You Out Of It,Florida Georgia Line,2019,1,3GV2TdiVjl8E5XXBEuiiyX,The Acoustic Sessions,35,
95,Beautiful,Bazzi Featuring Camila Cabello,2019,1,6hCR3zQtRH0IgookOYt771,Beautiful (feat. Camila Cabello),71,https://p.scdn.co/mp3-preview/68869934e36a263274c48611101cf5f1d332a89f?cid=6a78982078cb477d900388b0470ad9ad
96,Eyes On You,Chase Rice,2019,1,2jynxUXDGPBkMgbXhL3KGQ,Lambs & Lions,67,https://p.scdn.co/mp3-preview/fce3b3da73685db0982b56618f4febe3b4fc25ab?cid=6a78982078cb477d900388b0470ad9ad
97,All To Myself,Dan + Shay,2019,1,0g1F5eGVwX4Sxi1n8ojPkE,Dan + Shay,63,https://p.scdn.co/mp3-preview/56e90252cc71b7572ee0f76149cc1c91c9d719c2?cid=6a78982078cb477d900388b0470ad9ad
98,Boyfriend,Ariana Grande & Social House,2019,1,3zVB99XMdbP9HTVNg0GJwV,boyfriend,78,
99,Walk Me Home,P!nk,2019,1,0hgt3tZlHEGukN56ueTGcL,Hurts 2B Human,65,https://p.scdn.co/mp3-preview/0db0e88b98d1848a4656ab3fc5b18e3a4f59cf07?cid=6a78982078cb477d900388b0470ad9ad
100,Robbery,Juice WRLD,2019,1,1btu0SV2DOI5HoFsvUd78F,Death Race For Love (Bonus Track Version),80,
1,Blinding Lights,The Weeknd,2020,1,2ektqBOgstESA5KX3CxdYU,Blinding Lights (Piano Version),57,https://p.scdn.co/mp3-preview/f01c1edc268d62bbbed8a5c3cb99f31cf0f4081d?cid=6a78982078cb477d900388b0470ad9ad
2,Circles,Post Malone,2020,1,4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding,87,
3,The Box,Roddy Ricch,2020,1,52u4anZbHd6UInnmHRFzba,Please Excuse Me for Being Antisocial,84,https://p.scdn.co/mp3-preview/6306fda4df77cbcaf47c8b9fa3575ce457504c9c?cid=6a78982078cb477d900388b0470ad9ad
4,Don't Start Now,Dua Lipa,2020,1,0ix3XtPV1LwmZADsprKxcp,Don't Start Now,76,https://p.scdn.co/mp3-preview/87258da8a9eb8d0a0d53071e06612955e6d3b28f?cid=6a78982078cb477d900388b0470ad9ad
5,Rockstar,DaBaby Featuring Roddy Ricch,2020,1,3xGZrrUdbVXu3CRXSSsPQZ,ROCKSTAR (feat. Roddy Ricch) [BLM REMIX],50,
6,Adore You,Harry Styles,2020,1,16gSYVkMETG28G6oNcOwpV,Piano Dreamers Cover Harry Styles (Instrumental),23,https://p.scdn.co/mp3-preview/f4fc2b9ea5082c3fd4f04743227973e30feca59a?cid=6a78982078cb477d900388b0470ad9ad
7,Life Is Good,Future Featuring Drake,2020,1,4bNPOFOzxGhF5jhfIK6lit,High Off Life,75,https://p.scdn.co/mp3-preview/554606d4fbc4afd5b835c130397f6ac86ba3cee9?cid=6a78982078cb477d900388b0470ad9ad
8,Memories,Maroon 5,2020,1,1pCA38N6MkLlthXtAOvZTU,JORDI (Deluxe),85,
9,The Bones,Maren Morris,2020,1,3XpxioqzCTiqOSuHTXuaGf,GIRL,71,https://p.scdn.co/mp3-preview/309b0ae04efe3a3e06af691d9e014991d6ff6149?cid=6a78982078cb477d900388b0470ad9ad
10,Someone You Loved,Lewis Capaldi,2020,1,5658aM19fA3JVwTK6eQX70,Divinely Uninspired To A Hellish Extent,90,
11,Say So,Doja Cat,2020,1,1MmVkhiwTH0BkNOU3nw5d3,Hot Pink,78,https://p.scdn.co/mp3-preview/7131c09d3479d06d84281176255c851d88f6670b?cid=6a78982078cb477d900388b0470ad9ad
12,I Hope,Gabby Barrett Featuring Charlie Puth,2020,1,4Iqfx63CZhFGGIHiAvLxXY,Goldmine,61,https://p.scdn.co/mp3-preview/bfa518d2e1ff6bc87a8af8454fe799582cd09482?cid=6a78982078cb477d900388b0470ad9ad
13,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020,1,5g2INX6dnMIJG0xKygXwF3,Thats What They All Say,66,https://p.scdn.co/mp3-preview/5362b7871570a2a4b4af8bead9049dd14808875e?cid=6a78982078cb477d900388b0470ad9ad
14,Dance Monkey,Tones And I,2020,1,31IDBea3eEs57a0joX6TjN,Dance Monkey,63,https://p.scdn.co/mp3-preview/67a1ddabbcb69ce2b9d968e68d23aaaebd0adc68?cid=6a78982078cb477d900388b0470ad9ad
15,Savage,Megan Thee Stallion Featuring Beyonce,2020,1,6M4VOF1ExBRii1x20Pk0GR,Savage Remix (feat. Beyoncé),64,https://p.scdn.co/mp3-preview/adf3906bbf048ebb7b9bb0043560a129beb77b36?cid=6a78982078cb477d900388b0470ad9ad
16,Roxanne,Arizona Zervas,2020,1,6HJDrXs0hpebaRFKA1sF90,ROXANNE,76,https://p.scdn.co/mp3-preview/18dbed71a2ee41dec2edbecd76e2f67250675dc6?cid=6a78982078cb477d900388b0470ad9ad
17,Intentions,Justin Bieber Featuring Quavo,2020,1,63iWSELt9V1kV6RSMxN7Ii,Changes,76,
18,Everything I Wanted,Billie Eilish,2020,1,4i3rAwPw7Ln2YrKDusaWyT,everything i wanted,84,
